2011,2012,2013,2014,2015,2016,2017,2018,2019
2868.2,2863.6,2862.4,2716.2,2720.4,2688.8,2655.6,2653.8,2652.2
1337.3,1333.9,1338.6,1333.4,1330.9,1353,1329.2,1356.1,1358.7
3504,3525.9,3521,3515.6,3493.7,3488.8,3521.3,3523.2,3523.7
2672.6,2663.6,2627.8,2652,2633,2625.1,2631.3,2632.5,2626
946,955.9,965.9,974.8,993.6,1003.5,981.8,984.7,988.4
2286.7,2285.2,2258.6,2267.2,2273.3,2274.5,2272.2,2271.9,2273.8
28852.6,29000.8,29146,29070.8,29058.3,29101.1,29101.3,29020.2,29024.2
16721.3,16667.3,16699.6,16724.8,16730.7,16658.9,16687.3,16645.1,16666
5532.3,5134.7,5213,5406.7,5291.7,5259.7,5152.4,5288.1,5153.4
5337.2,5338,5340,5346.3,5346.5,5349,5352.3,5343.8,5309.5
12670.2,12548.1,12426,12720.2,12660.9,12843.3,13005.8,12908.8,13150.2
1815.9,1840.9,1877.7,1872.5,1884.8,1930.6,1932.2,1937.9,1959.4
2805.9,2842.2,2891.4,2952.3,3006,2954.1,2935.3,2947.2,2975
131.3,131.4,131,131.1,131.4,130.7,131.2,131.6,131.6
1858.4,1841.6,1847.6,1839,1845.8,1796.3,1790,1822.4,1816.3
998.9,992.9,987.1,986.8,986,983.7,985.1,986.3,981.8
3649.6,3664.7,3718.2,3699.7,3695,3638,3708.4,3753,3966.7
458.2,479.7,478.9,482.2,476.9,477.7,481.4,477.9,479.8
3063.1,3031.5,3036.1,3036.1,3028.4,3020.9,3011.4,3000.4,3004.8
1534.3,1531.4,1528.7,1526,1523.3,1520.5,1517.7,1514.7,1512.1
17172,17282,17259,17240,17144,17357,17472,17357,17529
