2011,2012,2013,2014,2015,2016,2017,2018,2019
64570,64819,64771,65474,66256,67167,67885,66836,65897
73633,73554,72788,71192,71773,71974,70210,69683,68371
66275,66767,69607,71614,78529,79229,77406,74013,69900
81587,80031,77666,77825,79388,79529,81446,80486,76020
10617,10756,10888,10958,10940,10423,10338,10063,9894
37347,37206,36950,37587,36197,34759,34242,33875,33176
609897,604639,593357,600236,602863,603107,601743,599184,579972
628152,633463,639522,646932,643722,637184,619460,591418,570449
70250,68182,68033,65311,64074,64001,63569,63221,63136
71112,70220,72182,72571,76275,77118,77951,76646,76327
376807,387484,369768,357027,357400,369561,363439,350874,348876
15188,15947,16205,16461,16082,16106,16421,16119,16204
37247,36906,36583,39207,39749,39241,39177,38415,38737
6132,5932,5947,6111,6114,6251,6410,6492,6458
132148,126372,123751,127273,128739,129974,132006,129872,124576
31061,31287,31587,31329,31311,31371,31144,32426,30173
57043,55911,54583,56730,57668,58126,58983,59099,60487
19104,18949,18717,18638,19097,19333,18944,18847,18620
53973,52836,53767,53684,53751,52484,52697,52524,51832
56976,56365,55620,56002,55198,55060,54971,54385,53602
261044,260172,255551,266804,269034,271010,274065,270056,269212
