2011,2012,2013,2014,2015,2016,2017,2018,2019
517.067,524.084,547.441,527.659,534.342,546.585,553.494,530.747,522.12
741.564,760.333,817.773,705.805,728.009,781.759,800.42,803.611,909.159
545.136,560.857,607.293,612.437,604.447,638.108,637.049,618.137,632.85
690.452,669.059,662.456,625.961,633.202,628.47,602.347,594.821,580.736
108.766,110.633,110.017,131.1,132.576,130.455,132.521,124.907,113.477
721.344,770.865,751.608,728.875,756.541,776.508,767.074,729.121,762.089
4141.451,4014.123,4247.675,4185.48,4211.531,4087.695,4004.76,4085.528,4037.078
1326.904,1317.365,1256.662,1514.097,1451.127,1497.872,1417.927,3554.493,3575.911
667.211,284.451,293.016,255.98,257.876,270.717,291.223,263.528,277.456
485.94,401.155,524.414,596.683,580.526,644.446,605.989,644.479,670.144
2702.702,2625.289,2602.197,2584.812,2663.492,2650.201,2695.754,2798.237,2719.34
141.295,142.475,147.955,146.311,155.747,167.722,185.43,181.013,202.017
108.193,108.011,103.706,103.362,97.486,104.098,108.991,107.405,110.429
25.044,25.031,26.451,25.404,25.085,28.96,26.944,26.709,24.404
3607.433,3698.318,3709.364,3453.52,3629.907,3671.757,3683.534,3978.699,4014.267
296.979,307.708,295.217,273.587,286.94,294.504,324.126,326.689,318.877
316.454,320.166,326.61,335.036,343.542,350.557,368.859,381.565,377.318
67.522,71.028,70.011,75.308,74.186,73.397,72.936,74.538,73.261
620.508,595.603,652.536,622.057,611.631,629.546,630.06,604.99,625.787
101.777,105.35,104.896,101.077,103.819,104.15,103.957,106.125,105.753
776.053,835.674,924.645,1023.761,746.17,1217.679,1327.834,1158.087,1148.41
