2011,2012,2013,2014,2015,2016,2017,2018,2019
82505.756,79788.325,80228.518,76662.662,78884.465,79821.264,82132.492,78854.375,79994.138
123192.991,120443.613,120523.715,114878.847,118990.38,117419.566,116909.236,117584.916,116463.711
138568.002,134610.182,129251.707,127080.041,128506.449,130106.966,130951.936,129180.055,123451.261
60652.624,56058.808,57779.385,53608.896,50834.619,52906.152,50773.914,50726.022,46941.671
21079.726,19962.929,21865.08,21040.763,17972.591,19603.129,20896.115,20030.103,14537.852
67815.563,62255.533,62700.935,58519.678,55009.237,57833.196,55030.868,55949.656,52726.084
486264.328,488200.248,487905.798,456751.015,460283.691,462641.635,465262.155,447070.005,437646.627
907502.159,913347.728,933505.373,893394.42,896657.872,898559.815,881582.779,846171.19,794633.669
116179.123,112923.948,103262.336,99837.258,95965.287,92274.517,96110.317,92857.12,86153.272
64870.172,61557.117,58661.109,58993.14,62201.094,62696.221,65072.758,65033.637,64771.788
510854.612,491949.913,456475.724,435399.332,445735.65,442962.278,437340.979,433630.907,422276.173
11066.321,10884.333,10800.425,10712.576,10744.787,10742.113,10776.099,11272.33,11131.865
21104.524,21085.976,19954.615,19857.264,20155.056,20220.167,20344.849,20013.483,20244.638
12040.48,11804.174,11281.311,10785.436,10313.875,10077.823,10259.736,10563.276,10739.993
199922.924,195581.752,195278.022,187053.581,194015.914,194644.488,191991.166,186759.633,180936.865
53999.147,53380.667,53615.084,53906.696,54362.816,53447.035,52678.814,52702.969,50958.219
68058.175,66076.81,64156.749,64041.758,68178.645,66351.936,71403.998,67764.993,64115.506
19716.011,19083.138,18382.005,16726.123,16912.465,17790.027,17870.428,17689.131,17204.827
60012.263,57108.545,55473.546,53729.413,53557.225,53468.248,52562.661,51784.169,50607.24
51186.293,52516.285,53361.839,49425.48,48903.484,49211.976,48245.134,46741.169,46470.473
570233.516,586328.483,572040.662,531430.162,513880.193,488309.307,476874.215,467869.951,453233.646
